name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,Confirmed,5.743,0.289,0.289,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.7,2.051,0.087,0.087,0.104,0.008,0.008,86.116,20.53,20.53,0.066339,2000,14-06-2024,112.816,5.448,5.448,2451492,17,17,,,,,,,,,,,,,,,,,,,114.583,1.196,1.196,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,Theoretical,HD 10697 b,,109 Psc,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600,80,80,,,HD 10697
112 Psc b,Confirmed,0.033,0.005,0.005,0.033,0.005,0.005,,,,4.4,0.0004,0.0004,0.054,0.002,0.002,0.376,0.254,0.254,,,,,2022,14-06-2024,279.492,67.524,67.524,,,,,,,,,,,,,,,,,,,,,,4.157,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 12235 b,,112 Psc,30.0381648,3.097014011,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986,105.437,105.437,,,HD 12235
112 Psc c,Confirmed,9.866,1.781,1.781,,,,,,,36336.7,6039.4,6039.4,22.21,2.766,2.766,0.174,0.154,0.154,47.738,11.804,11.804,,2022,14-06-2024,79.772,31.067,31.067,,,,,,,,,,,,,,,,,,,,,,42.503,0.586,0.586,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HD 12235 c,,112 Psc,30.0381648,3.097014011,5.88,,5.204,4.63,4.494,31.7627,0.10695,0.10695,0.31,0.1,0.1,1.1,0.133,0.133,1.801,0.0725,0.0725,G0IV,,,,5986,105.437,105.437,,,HD 12235
11 Com Ab,Confirmed,16.1284,1.53491,1.53491,16.1284,1.53491,1.53491,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2007,01-08-2024,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,302.8,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 Com A,185.1791667,17.7927778,4.74,,,,,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19,2,2,G8III,,,,4742,100,100,,,HD 107383
11 UMi b,Confirmed,11.0873,1.1,1.1,11.0873,1.1,1.1,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,03-03-2023,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,189.7,7.15,7.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340,70,70,,,
14 And Ab,Confirmed,4.684,0.23,0.23,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0,,,,,,0.010864,2008,30-07-2024,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And A,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11,1,1,K0III,,,,4813,20,20,,,
14 Her b,Confirmed,8.5,0.8,0.8,4.95,,,,,,1767.56,0.22,0.22,2.82,0.04,0.04,0.372,0.003,0.003,35.7,3.2,3.2,0.153039,2002,15-10-2024,22.3,0.4,0.4,2451368,5,5,,,,,,,,,,,,,,,,,,,90.38,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311,87,87,,,
14 Her c,Confirmed,7.1,0.6,0.6,7.12,,,,,,52160,1028,1028,27,7.9,7.9,0.65,0.6,0.6,82,14,14,0.381215,2006,15-10-2024,0.01,1,1,2451779,33,33,,,,,,,,,,,,,,,,,,,50.8,0.4,0.4,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311,87,87,,,
16 Cyg Bb,Confirmed,1.64,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,28-07-2024,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8,1.8,1.8,5766,60,60,,,"HD 186427, GJ 765.1 B"
18 Del Ab,Confirmed,10.3,0.36,0.36,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,02-08-2024,166.1,6.5,6.5,2451672,18,18,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del A,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979,18,18,,,HD 199665
23 Lib b,Confirmed,1.59,0.02,0.02,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,28-05-2024,252.7,0.5,0.5,10071,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 b,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740,23,23,,,HD 134987
23 Lib c,Confirmed,0.82,0.03,0.03,0.82,0.03,0.03,,,,5000,400,400,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,28-05-2024,195,48,48,11100,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 134987 c,,23 Lib,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740,23,23,,,HD 134987
24 Boo b,Confirmed,0.91,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.009,0.042,0.029,0.029,,,,,2018,07-08-2023,210,130,130,2450008.6,7.9,7.9,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.1625,49.84500003,5.6,,,,,100,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.13,10.64,0.59,0.59,G3IV,6.92,4.8,4.8,4893,15,15,,,
24 Sex b,Confirmed,1.84,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,4.5,1.333,0.009,0.009,0.09,0.06,0.06,,,,0.017821,2010,02-10-2021,9.2,165.4,165.4,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
24 Sex c,Confirmed,1.52,0.2,0.2,1.52,0.2,0.2,,,,883,14,14,2.08,0.02,0.02,0.29,0.09,0.09,,,,0.027807,2010,02-10-2021,220.5,320.9,320.9,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.8682058,-0.902243676,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
27 Hya Ab,Confirmed,10,,,10,,,,,,3400,,,5.9,,,,,,,,,,2009,01-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,ADS 7311 Ab,,27 Hya A,140.1208956,-9.555703357,4.81,,3.25,2.824,2.71,68.4818,1.71845,1.71845,,,,2.32,,,9.69,,,K0III,1.91,,,5078,124,124,,,ADS 7311 A
2M 1253+2734 b,Confirmed,8.3,0.2,0.2,8.3,0.2,0.2,,,,24.31,0.021,0.021,,,,0.681,0.053,0.053,,,,,2021,08-02-2022,,,,,,,,,,,,,,,,,,,,,,,,,1070,170,170,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M 1253+2734,193.2541667,27.57194446,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J0320-0446 b,Confirmed,54,,,54,,,,,,246.73,0.49,0.49,0.395,,,0.065,0.016,0.016,,,,,2008,16-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,7020,120,120,1350,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J03202839-0446358 b,,2MASS J0320-0446,50.11817937,-4.776776857,,,13.26,12.53,12.13,25,3,3,,,,0.081,,,,,,M8.5V,1,,,2300,100,100,,,2MASS J03202839-0446358
2MASS J0535-0546,Confirmed,56.7,4.8,4.8,,,,6.52,0.33,0.33,,,,,,,,,,,,,,2006,01-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,"*V2384 Ori, 2MASS J05352184-054608",,,83.84102633,-5.769044541,,,,,,421.9,0.1,0.1,,,,,,,,,,,,,,,,,,,
2MASS J0535-0546 b,Confirmed,35.6,2.8,2.8,,,,4.81,0.24,0.24,,,,0.0398,0.001,0.001,0.3225,0.006,0.006,88.8,0.1,0.1,,2006,01-07-2024,215.4,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,"*V2384 Ori b, 2MASS J05352184-0546085 b",,,83.84102633,-5.769044541,,,,,,421.9,0.1,0.1,,,,,,,,,,,,,,,,,,,
2MASS J05373850+2428517,Confirmed,25,25,25,,,,,,,,,,,,,,,,,,,,2019,05-09-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,2MASS J05373850+2428517,84.41041667,24.48103611,,,,,,,,,,,,,,,,,,M5.25,,,,,,,,,
2MASS J1252+2735 b,Confirmed,6.88,0.64,0.64,6.88,0.64,0.64,,,,35.08,0.12,0.12,,,,0,,,,,,,2021,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,502,104,104,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12525132+2735131 b,,2MASS J1252+2735,193.2125,27.58694446,12,,,,,197.2,4,4,,,,,,,,,,G8IV,,,,,,,,,2MASS J12525132+2735131
2MASS J1258+2630 b,Confirmed,3.4,0.18,0.18,3.4,0.18,0.18,,,,11.88,0.19,0.19,,,,0.598,0.084,0.084,,,,,2021,17-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,550,120,120,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J12582326+2630091 b,,2MASS J1258+2630,194.5958333,26.50250001,12.69,,9.78,9.07,8.89,58.5849,0.1455,0.1455,,,,0.5898,0.02,0.02,0.602,0.0178,0.0178,M1.3V,,,,3825,157,157,,,"2MASS J12582326+2630091, UCAC3 234-106607"
2MASS J1559+4403 Ab,Confirmed,24.5,2.7,2.7,24.5,2.7,2.7,,,,13.976,0.001,0.001,0.0938,0.001,0.001,0.35,0.03,0.03,,,,,2024,30-08-2024,148,2,2,,,,,,,,,,,,,,,,,,,,,,11000,500,500,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,2MASS J155947+440359 Ab,,2MASS J1559+4403 A,239.9458333,44.06666668,11.8,,,,,35,,,,,,0.54,,,,,,M2.0V,0.125,0.075,0.075,,,,,,2MASS J155947+440359
3 Cnc b,Confirmed,20.76,0.73,0.73,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.04,0.04,0.03,0.03,,,,,2020,26-10-2020,275.18,96.04,96.04,2453806.7,175.74,175.74,,,,,,,,,,,,,,,,,,,216.17,11.16,11.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,3 Cnc,120.1958333,17.30861112,5.6,,,,,243.3,26.86,26.86,0.06,0.1,0.1,2.94,0.33,0.33,39.38,3.3,3.3,K3 III,0.43,0.12,0.12,4319,22,22,,,
41 Com Ab,Confirmed,6.3,1,1,6.3,1,1,,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,,2017,01-08-2024,92.06,17.25,17.25,2455602.4,24,24,,,,,,,,,,,,,,,,,,,120,9,9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 113996 b,,41 Com,196.7958333,27.62472224,4.9,,,,,102,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,K5III,3.24,1.2,1.2,4181,40,40,,,HD 113996
44 Uma b,Confirmed,12.11,0.85,0.85,12.11,0.85,0.85,,,,785.74,4.77,4.77,2.16,0.06,0.06,0.11,0.06,0.06,,,,,2020,26-10-2020,135.6,45.6,45.6,2453560.34,90.8,90.8,,,,,,,,,,,,,,,,,,,158.74,8.62,8.62,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.3935503,54.58512741,5.12,,,,,200.4,12.43,12.43,-0.21,0.1,0.1,2.19,0.43,0.43,45.12,2.32,2.32,K3 III,1.05,0.18,0.18,4215,13,13,,,
47 UMa b,Confirmed,2.53,0.06,0.06,2.53,0.06,0.06,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,20-07-2024,334,23,23,2451917,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 UMa c,Confirmed,0.54,0.073,0.073,0.54,0.073,0.073,,,,2391,87,87,3.6,0.1,0.1,0.098,0.096,0.096,,,,0.257695,2001,20-07-2024,295,160,160,2456441,825,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 UMa d,Confirmed,1.64,0.48,0.48,1.64,0.48,0.48,,,,14002,5095,5095,11.6,2.9,2.9,0.16,0.16,0.16,,,,0.830351,2010,20-07-2024,110,160,160,2451736,5051,5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
4FGL J1408.6-2917 b,Confirmed,28.27,3.14,3.14,,,,,,,0.14261385,,,0.006017,4.12E-06,4.12E-06,,,,,,,,2022,12-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Kinematic",,,,,4FGL J1408.6-2917,211.8512083,-29.80638889,,,,,,2200,,,,,,1.4,,,,,,PSR,,,,,,,,,
4U 1543-62 b,Confirmed,41,,,28.8,2.6,2.6,0.3,0.008,0.008,0.0125,,,0.001187,2.70E-07,2.70E-07,,,,,,,,2004,30-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Kinematic",Timing,Theoretical,QU TrA b,,4U 1543-62,236.9775,-62.56833333,,,,,,3300,-1900,-1900,,,,1.4,,,,,,PSR,,,,,,,,,QU TrA
4U 1626-67 b,Confirmed,41.88,,,,,,0.778,0.0973,0.0973,0.027777,,,0.002037,1.37E-05,1.37E-05,,,,23.5,12.5,12.5,,1988,30-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Kinematic",,,KZ TrA b,,4U 1626-67,248.0699583,-67.46091667,,,,,,4500,1500,1500,,,,1.4,,,2.00E-05,,,PSR,,,,,,,,,KZ TrA
51 Peg b,Confirmed,0.47,0.07,0.07,0.46,0.06,0.06,1.9,0.3,0.3,4.2308,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0066,80,10,10,0.003537,1995,01-09-2024,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,4,2.5,2.5,5758,110.623,110.623,,,HD 217014
54 Psc b,Confirmed,0.23,0.013,0.013,0.228,0.011,0.011,,,,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83,56,56,0.025818,2003,28-05-2024,243,3,3,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,16.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"54 Psc Ab, HD 3651 b",,54 Psc,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,IR Excess,,HD 3651
55 Cnc Ab,Confirmed,0.84,0.031,0.031,0.84,0.031,0.031,,,,14.65314,0.00095,0.00095,0.11339,0.00011,0.00011,0.0023,0.0016,0.0016,89.73,24.54,24.54,0.009303,1996,19-06-2024,110,54,54,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"rho1 Cnc Ab, HD 75732 b",,55 Cnc A,133.1492129,28.33082083,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ac,Confirmed,0.1784,0.0078,0.0078,0.1784,0.0078,0.0078,,,,44.373,0.018,0.018,0.23735,0.00024,0.00024,0.072,0.014,0.014,,,,0.019473,2002,19-06-2024,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Ac,,55 Cnc A,133.1492129,28.33082083,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ad,Confirmed,3.84,0.08,0.08,3.84,0.08,0.08,,,,5574.2,5,5,5.446,0.02,0.02,0.0269,0.0065,0.0065,,,,0.466775,2002,19-06-2024,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"TOI-1773 c, rho1 Cnc Ad",,55 Cnc A,133.1492129,28.33082083,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ae,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.20E-06,1.20E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.019,90.36,4.66,4.66,0.001264,2004,19-06-2024,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Primary Transit",Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e, rho1 Cnc Ae","Ca, Ca+, CCH, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc A,133.1492129,28.33082083,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Af,Confirmed,0.1479,0.0093,0.0093,0.1479,0.0093,0.0093,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.057,,,,0.06329,2007,19-06-2024,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Af,,55 Cnc A,133.1492129,28.33082083,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
59 Dra b,Confirmed,25,,,,,,,,,28.44,,,0.22,,,0.2,0.01,0.01,,,,0.008059,2006,28-05-2024,56,4,4,2453244.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 180777 b,,59 Dra,287.2916667,76.5605556,5.11,,4.34,4.26,4.31,27.4468,0.0925,0.0925,,,,1.59,0.251,0.251,1.50485,0.0575,0.0575,A9V,,,,7137,128,128,,,HD 180777
61 Vir b,Confirmed,0.016,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,28-08-2023,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 b,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.0573,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,28-08-2023,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 c,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,28-08-2023,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 d,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
6 Lyn b,Confirmed,2.01,0.077,0.077,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,0.038664,2008,11-04-2021,130,38,38,2455384,94,94,,,,,,,,,,,,,,,,,,,32.8,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978,18,18,,,
70 Vir Ab,Confirmed,6.6,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,06-08-2024,2.1,2,2,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir A,202.1083333,13.7866667,5,,,,,22,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432,,,IR Excess,,"HD 117176, GJ 512.1"
75 Cet Ab,Confirmed,2.48,0.09,0.09,2.48,0.09,0.09,,,,696.6,3.6,3.6,1.912,0.003,0.003,0.093,0.04,0.04,,,,,2012,02-08-2024,203,10,10,2455046.9,54,54,,,,,,,,,,,,,,,,,,,36.92,1.35,1.35,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,75 Cet A,38.0375,-1.035,5.36,,,,,81.5,7.51,7.51,0,0.04,0.04,2.49,0.02,0.02,10.5,1,1,G3III,,,,4846,18,18,,,
