name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
LHS 1610 b,Confirmed,51,1,1,44.8,3.2,3.2,,,,10.5918,0.0028,0.0028,0.0563,0.002,0.002,0.52,0.03,0.03,117,1,1,,2018,30-12-2024,89.62,0.23,0.23,2457781.739,0.011,0.011,,,,,,,,,,,,,,,,,,,12527,170,170,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,LHS 1610,58.17500001,17.01777778,14,,,,,9.9,0.1,0.1,,,,0.17,0.02,0.02,,,,M4.0V,,,,,,,,,
LHS 3154 b,Confirmed,0.04137,0.00264,0.00264,0.04137,0.00264,0.00264,,,,3.71776,0.0008,0.0008,0.0226,0.0002,0.0002,0.076,0.047,0.047,,,,,2023,09-12-2023,82,47,47,2458874.02,0.57,0.57,,,,,,,,,,,,,,,,,,,23.4,1.5,1.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LHS-3154,241.6375,40.90694447,17.5,,,,,15.7531,0.0084,0.0084,0,,,0.112,0.003,0.003,0.14,0.004,0.004,M6.5,5,2,2,2861,77,77,,,
LkCa 15 e,Confirmed,0.2,0.1,0.1,,,,,,,,,,42,,,,,,,,,,2022,09-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Kinematic",,,,,LkCa 15,69.825,22.3508333,12.03,,9.42,8.6,8.16,160,,,,,,1.32,0.03,0.03,1.578,,,K7,0.002,,,4306.39,,,,,*V1079 Tau
LkHa 330 b,Confirmed,10,,,,,,,,,107073.7,,,60,,,0.1,,,,,,,2022,19-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Kinematic, Other",Theoretical,,,,LkHa 330,56.4511688,32.40329194,10.97,,8.83,7.92,7.03,318.2,3.5,3.5,,,,2.5,,,3.3,,,F7III-IV,0.0025,,,6300,,,,,"EM* LkHA 330, HBC 20"
LP 704-48 Bb,Confirmed,56,7,7,,,,,,,147.6,1.5,1.5,0.286,0.009,0.009,0.1,0.07,0.07,61,5,5,,2012,02-07-2024,-0.3,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,8200,400,400,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,LP 704-48 B,1.704845502,-8.879493248,,,14.14,13.55,13.13,30,3,3,,,,0.083,,,0.1,,,M8.5V,3.7,0.8,0.8,2400,,,,,SDSS J000649.16-085246.3
LSPM J2116+0234 b,Confirmed,0.042,0.003,0.003,0.042,0.003,0.003,,,,14.446,0.008,0.008,0.0876,0.002,0.002,,,,,,,,2019,23-06-2024,,,,2457572.9,1,1,,,,,,,,,,,,,,,,,,,6.24,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,UCAC4 463-128595 b,,LSPM J2116+0234,319.1125,2.580833356,11,,,,,17.64,0.02,0.02,-0.05,0.16,0.16,0.43,0.031,0.031,0.431,0.015,0.015,M3.0V,,,,3475,51,51,,,
LSR J1610-0040 b,Confirmed,57.4,0.1,0.1,57,,,,,,606.63,4.38,4.38,0.6,,,0.444,0.017,0.017,83.2,1,1,,2008,24-08-2024,151.4,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,,,,LSR J1610-0040,242.6206243,-0.681656729,18.6,,,,,29.88,,,-1,,,0.096,0.01,0.01,0.12,0.004,0.004,sdM6.5,,,,2800,,,,,2MASS J16102900-0040530
LTT 11586 Ab,Confirmed,44.27,0.44,0.44,44.27,0.44,0.44,,,,15.04547,0.00041,0.00041,0.082527,3.50E-05,3.50E-05,0.5029,0.0055,0.0055,,,,,2020,11-07-2024,283.8,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,8810,110,110,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LTT 11586 A,76.95541786,17.98268322,11.8,,8.02,7.45,7.18,11.6109,0.04185,0.04185,,,,0.289,0.014,0.014,0.32,,,M2V,,,,3494,,,,,"Wolf 230, GJ 3333, CRC 48"
LTT 1445 Ad,Confirmed,0.00856,0.000236,0.000236,0.00856,0.000236,0.000236,,,,24.29,0.05,0.05,0.09,0.02,0.02,0.26,0.14,0.14,,,,,2022,28-07-2024,50,34,34,,,,,,,,,,,,,,,,,,,,,,1.6,0.37,0.37,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,LTT 1445 A,45.46250002,-16.59333335,10.53,7.88,7.29,6.77,6.49,6.9,,,-0.34,0.09,0.09,0.256,0.014,0.014,0.27,0.012,0.012,M3.5V,,,,3340,159,159,,,"BD-17 588 A, TOI-455"
Luyten's Star b,Confirmed,0.00922,,,0.0069,0.003,0.003,,,,18.64,0.015,0.015,0.091,0.01,0.01,0.1,0.03,0.03,80,,,,2017,31-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 273 b,,Luyten's Star,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5V,,,,3382,49,49,,,GJ 273
Luyten's Star c,Confirmed,0.00374,,,0.0038,0.0013,0.0013,,,,4.72322,0.00081,0.00081,0.036,0.004,0.004,0.17,0.12,0.12,80,,,,2017,31-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 273 c,,Luyten's Star,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5V,,,,3382,49,49,,,GJ 273
Luyten's Star d,Confirmed,0.03448,,,0.034,0.011,0.011,,,,413.9,5.5,5.5,0.712,0.076,0.076,0,0.17,0.17,80,,,,2019,31-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.61,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 273 d,,Luyten's Star,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5V,,,,3382,49,49,,,GJ 273
Luyten's Star e,Confirmed,0.0297,,,0.0293,0.0123,0.0123,,,,542,16,16,0.849,0.092,0.092,0,0.03,0.03,80,,,,2019,31-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.66,0.66,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 273 e,,Luyten's Star,111.8520417,5.225777789,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5V,,,,3382,49,49,,,GJ 273
MARVELS-10 b,Confirmed,14.8,2.2,2.2,14.8,2.2,2.2,,,,217.3,1.1,1.1,0.71,0.02,0.02,0.53,0.15,0.15,,,,,2017,15-02-2019,0.1,27.3,27.3,,,,,,,,,,,,,,,,,,,24505598.2,4,4,574,128,128,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TYC 4955-369-1,190.6608834,-7.215931868,10.2,,,,,210.24,1.99,1.99,-0.43,0.09,0.09,1.03,0.09,0.09,0.9,0,0,,,,,6190,143,143,,,"2MASS J12423861-0712572, BD-06 3628"
MARVELS-11 b,Confirmed,52.1,0.6,0.6,52.1,0.6,0.6,,,,11.6121,0.0003,0.0003,0.1,0.003,0.003,0,0.002,0.002,,,,,2017,15-02-2019,66.2,44.4,44.4,,,,,,,,,,,,,,,,,,,2455581,1.6,1.6,4551,12,12,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 114623,197.8749331,15.7219387,9.9,,,,,128.69,0.589,0.589,-0.34,0.09,0.09,0.99,0.08,0.08,0.83,0.24,0.24,,,,,5980,140,140,,,"TYC 1451-1054-1, 2MASS J13112997+1543190"
MARVELS-12 b,Confirmed,32.8,1.1,1.1,32.8,1.1,1.1,,,,252.5,0.1,0.1,0.85,0.03,0.03,0.6,0.01,0.01,,,,,2017,15-02-2019,326.8,2.7,2.7,,,,,,,,,,,,,,,,,,,2454926.9,,,1093,35,35,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TYC 3469-492-1,203.3998226,52.43705155,11.3,,,,,477.01,6.13,6.13,0.36,0.06,0.06,1.29,0.12,0.12,2.39,0.46,0.46,,,,,5285,82,82,,,2MASS J13333594+5226134
MARVELS-13 b,Confirmed,41.8,2.9,2.9,41.8,2.9,2.9,,,,147.6,0.3,0.3,0.54,0.02,0.02,0.5,0.04,0.04,,,,,2017,15-02-2019,196.7,2.7,2.7,,,,,,,,,,,,,,,,,,,2455007.4,0.9,0.9,1868,167,167,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GSC 03467-00030,206.3356439,48.44462201,12.2,,,,,212.63,3.67,3.67,-0.17,0.08,0.08,0.96,0.09,0.09,1.03,0.3,0.3,,,,,5525,71,71,,,2MASS J13452055+4826405
MARVELS-16 b,Confirmed,42.7,0.7,0.7,42.7,0.7,0.7,,,,31.656,0.007,0.007,0.2,0.006,0.006,0.69,0.006,0.006,,,,,2017,15-02-2019,308.7,0.9,0.9,,,,,,,,,,,,,,,,,,,2454945.2,0.1,0.1,3552,42,42,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TYC 3130-160-1,280.7830104,43.12761639,11,,,,,115.66,0.311,0.311,0.33,0.06,0.06,1.06,0.1,0.1,1.28,0.33,0.33,,,,,5315,44,44,,,2MASS J18430791+4307392
MARVELS-17 b,Confirmed,13.1,1.6,1.6,13.1,1.6,1.6,,,,103.4,0.9,0.9,0.45,0.01,0.01,0.24,0.08,0.08,,,,,2017,15-02-2019,316,21.2,21.2,,,,,,,,,,,,,,,,,,,2454994.9,6.2,6.2,537,64,64,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TYC 3547-1007-1,292.1924893,48.04212057,10.5,,,,,186.4,1.21,1.21,0.06,0.11,0.11,1.12,0.1,0.1,0.91,0.3,0.3,G1V,,,,6090,190,190,,,2MASS J19284619+4802316
MARVELS-18 b,Confirmed,24.4,2.4,2.4,24.4,2.4,2.4,,,,117.6,1.1,1.1,0.51,0.02,0.02,0.46,0.09,0.09,,,,,2017,19-02-2019,176.2,10.8,10.8,,,,,,,,,,,,,,,,,,,2455025.1,3.1,3.1,968,83,83,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TYC 3556-3602-1,294.6663892,46.5778266,10.6,,,,,434.91,76.44,76.44,0.11,0.09,0.09,1.25,0.14,0.14,1.23,0.48,0.48,,,,,6295,200,200,,,2MASS J19383993+4634401
MARVELS-19 b,Confirmed,17.3,2.4,2.4,17.3,2.4,2.4,,,,122.2,1.7,1.7,0.52,0.03,0.03,0.53,0.1,0.1,,,,,2017,19-02-2019,218.2,12.4,12.4,,,,,,,,,,,,,,,,,,,2454903,2.8,2.8,683,82,82,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+42 3438,296.1517528,43.35668118,9.5,,,,,484.57,6.47,6.47,0.09,0.14,0.14,1.33,0.18,0.18,1.63,0.62,0.62,,,,,6270,271,271,,,"2MASS J19443642+4321240, TYC 3148-2071-1"
MARVELS-4 b,Confirmed,40,2.5,2.5,40,2.5,2.5,,,,9.009,0.0004,0.0004,0.09,0.003,0.003,0.226,0.011,0.011,,,,,2013,12-06-2024,4.086,0.041,0.041,2455552.797,0.083,0.083,,,,,,,,,,,,,,,,,,,3571,41,41,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,MARVELS-4,263.6405833,29.968225,10.533,,9.287,8.957,8.875,218,14,14,-0.23,0.07,0.07,1.16,0.11,0.11,1.64,0.37,0.37,G0IV,5.5,,,5903,42,42,,,TYC 2087-255-1
MARVELS-6 b,Confirmed,31.7,2,2,31.7,2,2,,,,47.8929,0.0062,0.0062,0.2673,,,0.1442,0.0073,0.0073,,,,,2013,12-06-2024,1.998,0.061,0.061,,,,5023.377,0.099,0.099,,,,,,,,,,,,,,,,1644,13,13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,MARVELS-6,287.8855417,48.51212139,11.786,10.967,10.46,10.073,10.008,219,21,21,0.4,0.09,0.09,1.11,0.11,0.11,1.06,0.23,0.23,G5V,6,,,5598,63,63,,,"KIC 11022130, GSC 03546-01452"
MARVELS-8 b,Confirmed,37.7,0.4,0.4,37.7,0.4,0.4,,,,36.045,0.005,0.005,0.215,0.006,0.006,0.101,0.004,0.004,,,,,2017,15-02-2019,146.8,2.6,2.6,,,,,,,,,,,,,,,,,,,2454864.3,0.3,0.3,2241,8,8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TYC 123-549-1,85.82809313,5.220677776,10.3,,,,,111.49,0.587,0.587,0.2,0.07,0.07,1.02,0.08,0.08,0.95,0.27,0.27,,,,,5540,39,39,,,2MASS J05431875+0513144
